SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation
192.168.250.79,20.50.201.204,45890,443,2024-03-24 22:31:50.299806976,0.455726,3021,6628.98320482044,3021,6628.98320482044,89471.47727272728,299.117831753186,251.75,60.0,54,1.3521716613918342,1.3521716613918342,1.1881542472817717,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344
192.168.250.79,52.226.139.180,41458,443,2024-03-24 22:31:50.359993856,0.093046,152,1633.6005846570513,152,1633.6005846570513,968.0,31.11269837220809,76.0,76.0,54,,,0.4093776101606328,0.0001855137748236757,0.013620344152174559,0.05055582523345947,0.05055582523345947,0.040924787521362305,,,0.26941196369118264,0.0001855137748236757,0.013620344152174559,0.05055582523345947,0.05055582523345947,0.040924787521362305,,,0.26941196369118264
52.226.139.180,192.168.250.79,443,41458,2024-03-24 22:31:50.409969152,0.0,229,inf,229,inf,,,229.0,229.0,229,,,,,,0.04997515678405762,0.04997515678405762,0.04997515678405762,,,,,,0.04997515678405762,0.04997515678405762,0.04997515678405762,,,
20.50.201.204,192.168.250.79,443,45890,2024-03-24 22:31:50.409969152,0.345467,7522,21773.42553702669,7522,21773.42553702669,449116.6222222222,670.1616388769371,752.2,534.0,1506,0.27757525880093914,0.27757525880093914,0.8909354412083715,0.0014108147714125608,0.0375608143071015,0.020622801780700684,0.0013283491134643555,0.0,1.88417111602267,1.88417111602267,1.8213245080138345,0.0014108147714125608,0.0375608143071015,0.020622801780700684,0.0013283491134643555,0.0,1.88417111602267,1.88417111602267,1.8213245080138345
192.168.250.79,20.50.201.204,45890,443,2024-03-24 22:31:50.410262016,0.455726,3021,6628.98320482044,3021,6628.98320482044,89471.47727272728,299.117831753186,251.75,60.0,54,1.3521716613918342,1.3521716613918342,1.1881542472817717,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344
192.168.250.79,20.50.201.204,45890,443,2024-03-24 22:31:50.412115200,0.455726,3021,6628.98320482044,3021,6628.98320482044,89471.47727272728,299.117831753186,251.75,60.0,54,1.3521716613918342,1.3521716613918342,1.1881542472817717,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344
192.168.250.79,52.226.139.180,41458,443,2024-03-24 22:31:50.453039872,0.093046,152,1633.6005846570513,152,1633.6005846570513,968.0,31.11269837220809,76.0,76.0,54,,,0.4093776101606328,0.0001855137748236757,0.013620344152174559,0.05055582523345947,0.05055582523345947,0.040924787521362305,,,0.26941196369118264,0.0001855137748236757,0.013620344152174559,0.05055582523345947,0.05055582523345947,0.040924787521362305,,,0.26941196369118264
20.50.201.204,192.168.250.79,443,45890,2024-03-24 22:31:50.523533056,0.345467,7522,21773.42553702669,7522,21773.42553702669,449116.6222222222,670.1616388769371,752.2,534.0,1506,0.27757525880093914,0.27757525880093914,0.8909354412083715,0.0014108147714125608,0.0375608143071015,0.020622801780700684,0.0013283491134643555,0.0,1.88417111602267,1.88417111602267,1.8213245080138345,0.0014108147714125608,0.0375608143071015,0.020622801780700684,0.0013283491134643555,0.0,1.88417111602267,1.88417111602267,1.8213245080138345
192.168.250.79,20.50.201.204,45890,443,2024-03-24 22:31:50.523674880,0.455726,3021,6628.98320482044,3021,6628.98320482044,89471.47727272728,299.117831753186,251.75,60.0,54,1.3521716613918342,1.3521716613918342,1.1881542472817717,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344
192.168.250.79,20.50.201.204,45890,443,2024-03-24 22:31:50.525070848,0.455726,3021,6628.98320482044,3021,6628.98320482044,89471.47727272728,299.117831753186,251.75,60.0,54,1.3521716613918342,1.3521716613918342,1.1881542472817717,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344,5.01947980930681e-07,0.0007084828727151285,0.0005056659380594889,0.00013947486877441406,0.0,1.3681367101424844,1.3681367101424853,1.4010887809330344
